dataset_name,embed_size,n_layers,batch_size,decay,epochs,eval_epoch,learning_rate,top_k,create_time,result,eval_ndcg,eval_map,eval_precision,eval_recall,score
1m,1024,4,4096,0.001,40,-1,0.01,5,2024-03-28_15-24-39,successful,0.0705070553702683,0.0170311641453605,0.0649668874172185,0.0318691982274133,
1m,1024,4,4096,0.1,40,-1,0.01,5,2024-03-28_15-35-19,successful,0.0561821766536787,0.0114741398169734,0.0523841059602648,0.02059292272328,
1m,1024,4,4096,0.001,40,-1,0.1,5,2024-03-28_15-45-58,successful,0.0650651119287228,0.0151311311277235,0.0600331125827814,0.0284710232898288,
1m,1024,4,4096,0.1,40,-1,0.1,5,2024-03-28_15-56-38,successful,0.0563361455643944,0.0114786332207652,0.0525496688741721,0.02075111998589,
1m,1024,4,10000,0.001,40,-1,0.0025,5,2024-03-28_16-07-19,successful,0.0703208200018402,0.0166986838217739,0.0651986754966887,0.0310978353052088,
1m,1024,4,10000,0.1,40,-1,0.0025,5,2024-03-28_16-12-57,successful,0.0566343916427827,0.0116828953258997,0.052615894039735,0.0208066637111568,
1m,1024,4,10000,0.001,40,-1,0.01,5,2024-03-28_16-18-44,successful,0.0705369754316928,0.0172885188431144,0.0647682119205298,0.0321338589455697,
1m,1024,4,10000,0.1,40,-1,0.01,5,2024-03-28_16-24-37,successful,0.0562957303463597,0.0115025635651526,0.0525165562913907,0.0206801480016649,
1m,1024,4,10000,0.001,40,-1,0.1,5,2024-03-28_16-30-31,successful,0.0682397735692157,0.0161348609496271,0.0631456953642384,0.0304319715208857,
1m,1024,4,10000,0.1,40,-1,0.1,5,2024-03-28_16-36-24,successful,0.0564324568747028,0.0115696573530146,0.0526158940397351,0.0209312739124366,
1m,1024,4,50000,0.001,40,-1,0.0025,5,2024-03-28_16-42-18,successful,0.0677800644118989,0.015229662839395,0.06341059602649,0.0286650659576522,
1m,1024,4,50000,0.1,40,-1,0.0025,5,2024-03-28_16-45-38,successful,0.0565281403545517,0.0116684223925433,0.0524172185430463,0.0206918906301924,
1m,1024,4,50000,0.001,40,-1,0.01,5,2024-03-28_16-48-58,successful,0.0712841831273862,0.0175923729930493,0.0650331125827814,0.0320508775764338,
1m,1024,4,50000,0.1,40,-1,0.01,5,2024-03-28_16-52-17,successful,0.0564779354865228,0.0116004681426043,0.0523841059602648,0.0206244302113805,
1m,1024,4,50000,0.001,40,-1,0.1,5,2024-03-28_16-55-36,successful,0.0707497883997182,0.0174925069154447,0.0649006622516556,0.0318728932002306,
1m,1024,4,50000,0.1,40,-1,0.1,5,2024-03-28_16-58-55,successful,0.056421155114519,0.0116052267271239,0.0523509933774834,0.0206072683551766,
1m,512,4,4096,0.001,40,-1,0.0025,20,2024-03-29_09-37-05,successful,0.0842708188016259,0.0269036564413751,0.0518956953642384,0.0984968473343252,
1m,1024,4,4096,0.001,40,-1,0.0025,20,2024-03-29_09-49-39,successful,0.0848822542949975,0.0271985252157849,0.0521274834437086,0.1001368659897394,
1m,1024,3,4096,0.001,40,-1,0.0025,20,2024-03-29_10-04-29,successful,0.0854690100517653,0.0278449760286628,0.0515811258278145,0.1023105380749981,
1m,1024,2,4096,0.001,40,-1,0.0025,20,2024-03-29_10-23-59,successful,0.0847845676668121,0.0277900897948953,0.0504221854304635,0.1029246611059976,
1m,512,3,4096,0.001,40,-1,0.0025,20,2024-03-29_10-35-30,successful,0.0853769962041715,0.0275359838425888,0.0519122516556291,0.1028430237641484,
1m,512,1,4096,0.001,40,-1,0.0025,20,2024-03-29_11-02-20,successful,0.0834658844415712,0.0274205899506059,0.0492632450331125,0.1029215114216379,
1m,512,1,4096,0.0001,40,-1,0.0025,20,2024-03-29_11-05-55,successful,0.0776369846583738,0.0248658839341454,0.0453725165562913,0.0979325826183598,
1m,512,1,4096,0.001,40,-1,0.0025,20,2024-03-29_12-41-34,successful,0.083465458540169,0.0274204257016834,0.0492632450331125,0.1029215114216379,
1m,512,1,4096,0.0001,40,-1,0.0025,20,2024-03-29_12-45-11,successful,0.0776369846583738,0.0248658839341454,0.0453725165562913,0.0979325826183598,
1m,512,1,4096,0.001,40,-1,0.01,20,2024-03-29_12-48-49,successful,0.0767546737666636,0.0243977965074601,0.045455298013245,0.0946574501820796,
1m,512,1,4096,0.0001,40,-1,0.01,20,2024-03-29_12-52-27,successful,0.0587956771577539,0.0176773262440261,0.0358857615894039,0.0710260514699945,
1m,512,1,10000,0.001,40,-1,0.0025,20,2024-03-29_12-56-05,successful,0.0848395747422761,0.0278191580449414,0.0500413907284768,0.1057484430859659,
1m,512,1,10000,0.0001,40,-1,0.0025,20,2024-03-29_12-59-14,successful,0.0809461259969551,0.026383028928244,0.0473758278145695,0.1023006102307618,
1m,512,1,10000,0.001,40,-1,0.01,20,2024-03-29_13-02-23,successful,0.0807380667000359,0.0263117492170981,0.0476490066225165,0.1001075093172516,
1m,512,1,10000,0.0001,40,-1,0.01,20,2024-03-29_13-05-32,successful,0.0685515054211013,0.0214377583128307,0.0405298013245033,0.0861389087836229,
1m,512,1,50000,0.001,40,-1,0.0025,20,2024-03-29_13-08-42,successful,0.0846798443493737,0.0276947818784787,0.050273178807947,0.1039151732012754,
1m,512,1,50000,0.0001,40,-1,0.0025,20,2024-03-29_13-11-50,successful,0.08382290043949,0.0274269947896355,0.049478476821192,0.1053106159886007,
1m,512,1,50000,0.001,40,-1,0.01,20,2024-03-29_13-15-09,successful,0.0840155706621936,0.0272304207220019,0.0498096026490066,0.1052630815828935,
1m,512,1,50000,0.0001,40,-1,0.01,20,2024-03-29_13-18-25,successful,0.0780805396890613,0.024748359956763,0.0459602649006622,0.1012253437138233,
1m,512,2,4096,0.001,40,-1,0.0025,20,2024-03-29_13-21-37,successful,0.0853687246359709,0.0279605383893716,0.0509354304635761,0.104032224267498,
1m,512,2,4096,0.0001,40,-1,0.0025,20,2024-03-29_13-26-08,successful,0.0818338846883437,0.0265076444211144,0.048046357615894,0.1031086128571407,
1m,512,2,4096,0.001,40,-1,0.01,20,2024-03-29_13-30-39,successful,0.0825828683020157,0.0269039974516046,0.048841059602649,0.1000031052120172,
1m,512,2,4096,0.0001,40,-1,0.01,20,2024-03-29_13-35-09,successful,0.0726356038393945,0.0234664310168025,0.0424006622516556,0.0904818822737211,
1m,512,2,10000,0.001,40,-1,0.0025,20,2024-03-29_13-39-40,successful,0.0853354710493836,0.0278794897347251,0.0509023178807947,0.1034857792293445,
1m,512,2,10000,0.0001,40,-1,0.0025,20,2024-03-29_13-43-03,successful,0.0831607579471478,0.0273363625388504,0.0487665562913907,0.1037507790166503,
1m,512,2,10000,0.001,40,-1,0.01,20,2024-03-29_13-46-26,successful,0.0843761291089464,0.0280465333164615,0.0498178807947019,0.1021276904068677,
1m,512,2,10000,0.0001,40,-1,0.01,20,2024-03-29_13-49-48,successful,0.0761108338814949,0.0244237927204356,0.0442466887417218,0.0972386386763599,
1m,512,2,50000,0.001,40,-1,0.0025,20,2024-03-29_13-53-09,successful,0.083928510332999,0.0267862454246135,0.0514238410596026,0.0998500905901363,
